ID_SITE,DATE,T,S,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10/6/2020,15.416,34.733,8.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18/6/2020,15.892,34.632,7.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26/6/2020,16.824,34.704,7.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5/11/2020,13.417,34.552,7.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12/11/2020,13.241,34.424,8.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20/11/2020,13.048,34.56,7.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,27/11/2020,12.848,34.31,7.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/4/2021,11.072,33.62,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8/4/2021,11.23,33.8,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16/4/2021,10.971,34.156,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7/6/2021,15.061,34.626,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15/6/2021,16.295,34.762,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21/6/2021,15.688,34.865,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,29/6/2021,15.399,35.014,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,