N quadrat,abundance,Volumen Hym (mL),Date,
1,47,437.9,LOMERGAT-JUNE 2020,
2,27,296.1,LOMERGAT-JUNE 2020,
3,25,241.1,LOMERGAT-JUNE 2020,
4,23,179.1,LOMERGAT-JUNE 2020,
5,20,511.4,LOMERGAT-JUNE 2020,
6,23,298.3,LOMERGAT-JUNE 2020,
7,22,281.4,LOMERGAT-JUNE 2020,
8,12,305.4,LOMERGAT-JUNE 2020,
9,14,105.4,LOMERGAT-JUNE 2020,
10,21,188.3,LOMERGAT-JUNE 2020,
11,48,276.8,LOMERGAT-JUNE 2020,
12,53,328.4,LOMERGAT-JUNE 2020,
13,33,437.0,LOMERGAT-JUNE 2020,
14,31,690.5,LOMERGAT-JUNE 2020,
15,28,516.1,LOMERGAT-JUNE 2020,
16,5,121.2,LOMERGAT-JUNE 2020,
17,7,111.0,LOMERGAT-JUNE 2020,
18,9,168.4,LOMERGAT-JUNE 2020,
19,12,54.8,LOMERGAT-JUNE 2020,
20,19,139.0,LOMERGAT-JUNE 2020,
21,22,145.5,LOMERGAT-JUNE 2020,
22,22,99.2,LOMERGAT-JUNE 2020,
5,3,1.9,LOMERGAT-NOV 2020,
6,20,13.6,LOMERGAT-NOV 2020,
7,14,9.8,LOMERGAT-NOV 2020,
8,10,13.1,LOMERGAT-NOV 2020,
9,10,21.7,LOMERGAT-NOV 2020,
10,7,5.6,LOMERGAT-NOV 2020,
11,33,11.2,LOMERGAT-NOV 2020,
12,24,3.6,LOMERGAT-NOV 2020,
13,32,15.7,LOMERGAT-NOV 2020,
5,3,68.9,LOMERGAT-APR 2021,
6,15,40.2,LOMERGAT-APR 2021,
7,7,26.4,LOMERGAT-APR 2021,
8,9,19.9,LOMERGAT-APR 2021,
9,16,40.7,LOMERGAT-APR 2021,
10,5,5.0,LOMERGAT-APR 2021,
11,12,19.8,LOMERGAT-APR 2021,
12,8,28.3,LOMERGAT-APR 2021,
13,13,80.9,LOMERGAT-APR 2021,
14,36,57.2,LOMERGAT-APR 2021,
15,27,61.6,LOMERGAT-APR 2021,
5,10,21.7,LOMERGAT-JUNE 21,
6,56,128.1,LOMERGAT-JUNE 21,
7,61,180.3,LOMERGAT-JUNE 21,
8,54,132.4,LOMERGAT-JUNE 21,
9,13,22.9,LOMERGAT-JUNE 21,
10,16,39.4,LOMERGAT-JUNE 21,
11,18,53.3,LOMERGAT-JUNE 21,
12,19,65.8,LOMERGAT-JUNE 21,
13,20,39.1,LOMERGAT-JUNE 21,
14,12,52.5,LOMERGAT-JUNE 21,
15,12,44.1,LOMERGAT-JUNE 21,
16,14,37.4,LOMERGAT-JUNE 21,
17,33,62.6,LOMERGAT-JUNE 21,
18,23,67.8,LOMERGAT-JUNE 21,
19,73,215.3,LOMERGAT-JUNE 21,
20,71,167.3,LOMERGAT-JUNE 21,
21,71,196.3,LOMERGAT-JUNE 21,